date,team_visitor,team_home
2021-10-19,Brooklyn,Milwaukee
2021-10-19,Golden State,LA Lakers
2021-10-20,Indiana,Charlotte
2021-10-20,Chicago,Detroit
2021-10-20,Boston,New York
2021-10-20,Washington,Toronto
2021-10-20,Cleveland,Memphis
2021-10-20,Houston,Minnesota
2021-10-20,Philadelphia,New Orleans
2021-10-20,Orlando,San Antonio
2021-10-20,Oklahoma City,Utah
2021-10-20,Sacramento,Portland
2021-10-20,Denver,Phoenix
2021-10-21,Dallas,Atlanta
2021-10-21,Milwaukee,Miami
2021-10-21,LA Clippers,Golden State
2021-10-22,New York,Orlando
2021-10-22,Indiana,Washington
2021-10-22,Charlotte,Cleveland
2021-10-22,Toronto,Boston
2021-10-22,Brooklyn,Philadelphia
2021-10-22,Oklahoma City,Houston
2021-10-22,New Orleans,Chicago
2021-10-22,San Antonio,Denver
2021-10-22,Phoenix,LA Lakers
2021-10-22,Utah,Sacramento
2021-10-23,Atlanta,Cleveland
2021-10-23,Miami,Indiana
2021-10-23,Dallas,Toronto
2021-10-23,Detroit,Chicago
2021-10-23,New Orleans,Minnesota
2021-10-23,Milwaukee,San Antonio
2021-10-23,Phoenix,Portland
2021-10-23,Memphis,LA Clippers
2021-10-24,Charlotte,Brooklyn
2021-10-24,Boston,Houston
2021-10-24,Orlando,New York
2021-10-24,Philadelphia,Oklahoma City
2021-10-24,Golden State,Sacramento
2021-10-24,Memphis,LA Lakers
2021-10-25,Boston,Charlotte
2021-10-25,Milwaukee,Indiana
2021-10-25,Chicago,Toronto
2021-10-25,Orlando,Miami
2021-10-25,Washington,Brooklyn
2021-10-25,Detroit,Atlanta
2021-10-25,New Orleans,Minnesota
2021-10-25,Cleveland,Denver
2021-10-25,Portland,LA Clippers
2021-10-26,Philadelphia,New York
2021-10-26,Golden State,Oklahoma City
2021-10-26,LA Lakers,San Antonio
2021-10-26,Houston,Dallas
2021-10-26,Denver,Utah
2021-10-27,Charlotte,Orlando
2021-10-27,Washington,Boston
2021-10-27,Miami,Brooklyn
2021-10-27,Indiana,Toronto
2021-10-27,Atlanta,New Orleans
2021-10-27,Minnesota,Milwaukee
2021-10-27,LA Lakers,Oklahoma City
2021-10-27,Sacramento,Phoenix
2021-10-27,Memphis,Portland
2021-10-27,Cleveland,LA Clippers
2021-10-28,Atlanta,Washington
2021-10-28,Detroit,Philadelphia
2021-10-28,Utah,Houston
2021-10-28,New York,Chicago
2021-10-28,San Antonio,Dallas
2021-10-28,Memphis,Golden State
2021-10-29,Orlando,Toronto
2021-10-29,Charlotte,Miami
2021-10-29,Indiana,Brooklyn
2021-10-29,Sacramento,New Orleans
2021-10-29,Dallas,Denver
2021-10-29,LA Clippers,Portland
2021-10-29,Cleveland,LA Lakers
2021-10-30,Boston,Washington
2021-10-30,Orlando,Detroit
2021-10-30,New York,New Orleans
2021-10-30,Toronto,Indiana
2021-10-30,Atlanta,Philadelphia
2021-10-30,Utah,Chicago
2021-10-30,Miami,Memphis
2021-10-30,San Antonio,Milwaukee
2021-10-30,Oklahoma City,Golden State
2021-10-30,Denver,Minnesota
2021-10-30,Cleveland,Phoenix
2021-10-31,Sacramento,Dallas
2021-10-31,Portland,Charlotte
2021-10-31,Utah,Milwaukee
2021-10-31,Detroit,Brooklyn
2021-10-31,Houston,LA Lakers
2021-11-01,Cleveland,Charlotte
2021-11-01,San Antonio,Indiana
2021-11-01,Portland,Philadelphia
2021-11-01,Washington,Atlanta
