date,winner,loser,pts_winner,pts_loser,game_id
2021-10-19,Golden State,LA Lakers,121,114,202110190LAL
2021-10-19,Milwaukee,Brooklyn,127,104,202110190MIL
2021-10-20,Charlotte,Indiana,123,122,202110200CHO
2021-10-20,Chicago,Detroit,94,88,202110200DET
2021-10-20,Memphis,Cleveland,132,121,202110200MEM
2021-10-20,Minnesota,Houston,124,106,202110200MIN
2021-10-20,Philadelphia,New Orleans,117,97,202110200NOP
2021-10-20,New York,Boston,138,134,202110200NYK
2021-10-20,Denver,Phoenix,110,98,202110200PHO
2021-10-20,Sacramento,Portland,124,121,202110200POR
2021-10-20,San Antonio,Orlando,123,97,202110200SAS
2021-10-20,Washington,Toronto,98,83,202110200TOR
2021-10-20,Utah,Oklahoma City,107,86,202110200UTA
2021-10-21,Atlanta,Dallas,113,87,202110210ATL
2021-10-21,Golden State,LA Clippers,115,113,202110210GSW
2021-10-21,Miami,Milwaukee,137,95,202110210MIA
2021-10-22,Toronto,Boston,115,83,202110220BOS
2021-10-22,Chicago,New Orleans,128,112,202110220CHI
2021-10-22,Charlotte,Cleveland,123,112,202110220CLE
2021-10-22,Denver,San Antonio,102,96,202110220DEN
2021-10-22,Houston,Oklahoma City,124,91,202110220HOU
2021-10-22,Phoenix,LA Lakers,115,105,202110220LAL
2021-10-22,New York,Orlando,121,96,202110220ORL
2021-10-22,Brooklyn,Philadelphia,114,109,202110220PHI
2021-10-22,Utah,Sacramento,110,101,202110220SAC
2021-10-22,Washington,Indiana,135,134,202110220WAS
2021-10-23,Chicago,Detroit,97,82,202110230CHI
2021-10-23,Cleveland,Atlanta,101,95,202110230CLE
2021-10-23,Indiana,Miami,102,91,202110230IND
2021-10-23,Memphis,LA Clippers,120,114,202110230LAC
2021-10-23,Minnesota,New Orleans,96,89,202110230MIN
2021-10-23,Portland,Phoenix,134,105,202110230POR
2021-10-23,Milwaukee,San Antonio,121,111,202110230SAS
2021-10-23,Dallas,Toronto,103,95,202110230TOR
2021-10-24,Charlotte,Brooklyn,111,95,202110240BRK
2021-10-24,Boston,Houston,107,97,202110240HOU
2021-10-24,LA Lakers,Memphis,121,118,202110240LAL
2021-10-24,Orlando,New York,110,104,202110240NYK
2021-10-24,Philadelphia,Oklahoma City,115,103,202110240OKC
2021-10-24,Golden State,Sacramento,119,107,202110240SAC
2021-10-25,Atlanta,Detroit,122,104,202110250ATL
2021-10-25,Brooklyn,Washington,104,90,202110250BRK
2021-10-25,Boston,Charlotte,140,129,202110250CHO
2021-10-25,Cleveland,Denver,99,87,202110250DEN
2021-10-25,Milwaukee,Indiana,119,109,202110250IND
2021-10-25,LA Clippers,Portland,116,86,202110250LAC
2021-10-25,Miami,Orlando,107,90,202110250MIA
2021-10-25,New Orleans,Minnesota,107,98,202110250MIN
2021-10-25,Chicago,Toronto,111,108,202110250TOR
2021-10-26,Dallas,Houston,116,106,202110260DAL
2021-10-26,New York,Philadelphia,112,99,202110260NYK
2021-10-26,Golden State,Oklahoma City,106,98,202110260OKC
2021-10-26,LA Lakers,San Antonio,125,121,202110260SAS
2021-10-26,Utah,Denver,122,110,202110260UTA
2021-10-27,Washington,Boston,116,107,202110270BOS
2021-10-27,Miami,Brooklyn,106,93,202110270BRK
2021-10-27,Cleveland,LA Clippers,92,79,202110270LAC
2021-10-27,Minnesota,Milwaukee,113,108,202110270MIL
2021-10-27,Atlanta,New Orleans,102,99,202110270NOP
2021-10-27,Oklahoma City,LA Lakers,123,115,202110270OKC
2021-10-27,Charlotte,Orlando,120,111,202110270ORL
2021-10-27,Sacramento,Phoenix,110,107,202110270PHO
2021-10-27,Portland,Memphis,116,96,202110270POR
2021-10-27,Toronto,Indiana,118,100,202110270TOR
2021-10-28,New York,Chicago,104,103,202110280CHI
2021-10-28,Dallas,San Antonio,104,99,202110280DAL
2021-10-28,Memphis,Golden State,104,101,202110280GSW
2021-10-28,Utah,Houston,122,91,202110280HOU
2021-10-28,Philadelphia,Detroit,110,102,202110280PHI
2021-10-28,Washington,Atlanta,122,111,202110280WAS
2021-10-29,Brooklyn,Indiana,105,98,202110290BRK
2021-10-29,Denver,Dallas,106,75,202110290DEN
2021-10-29,LA Lakers,Cleveland,113,101,202110290LAL
2021-10-29,Miami,Charlotte,114,99,202110290MIA
2021-10-29,Sacramento,New Orleans,113,109,202110290NOP
2021-10-29,Portland,LA Clippers,111,92,202110290POR
2021-10-29,Toronto,Orlando,110,109,202110290TOR
2021-10-30,Chicago,Utah,107,99,202110300CHI
2021-10-30,Detroit,Orlando,110,103,202110300DET
2021-10-30,Golden State,Oklahoma City,103,82,202110300GSW
2021-10-30,Toronto,Indiana,97,94,202110300IND
2021-10-30,Miami,Memphis,129,103,202110300MEM
2021-10-30,San Antonio,Milwaukee,102,93,202110300MIL
2021-10-30,Denver,Minnesota,93,91,202110300MIN
2021-10-30,New York,New Orleans,123,117,202110300NOP
2021-10-30,Philadelphia,Atlanta,122,94,202110300PHI
2021-10-30,Phoenix,Cleveland,101,92,202110300PHO
2021-10-30,Washington,Boston,115,112,202110300WAS
2021-10-31,Brooklyn,Detroit,117,91,202110310BRK
2021-10-31,Charlotte,Portland,125,113,202110310CHO
2021-10-31,Dallas,Sacramento,105,99,202110310DAL
2021-10-31,LA Lakers,Houston,95,85,202110310LAL
2021-10-31,Utah,Milwaukee,107,95,202110310MIL
2021-11-1,Atlanta,Washington,118,111,202111010ATL
2021-11-1,Chicago,Boston,128,114,202111010BOS
2021-11-1,Cleveland,Charlotte,113,110,202111010CHO
2021-11-1,Indiana,San Antonio,131,118,202111010IND
2021-11-1,LA Clippers,Oklahoma City,99,94,202111010LAC
2021-11-1,Memphis,Denver,106,97,202111010MEM
2021-11-1,Orlando,Minnesota,115,97,202111010MIN
2021-11-1,Toronto,New York,113,104,202111010NYK
2021-11-1,Philadelphia,Portland,113,103,202111010PHI
2021-11-2,Miami,Dallas,125,110,202111020DAL
2021-11-2,Milwaukee,Detroit,117,89,202111020DET
2021-11-2,LA Lakers,Houston,119,117,202111020LAL
2021-11-2,Phoenix,New Orleans,112,100,202111020PHO
2021-11-2,Utah,Sacramento,119,113,202111020UTA
2021-11-3,Brooklyn,Atlanta,117,108,202111030BRK
2021-11-3,Cleveland,Portland,107,104,202111030CLE
2021-11-3,Golden State,Charlotte,114,92,202111030GSW
2021-11-3,Indiana,New York,111,98,202111030IND
2021-11-3,Memphis,Denver,108,106,202111030MEM
2021-11-3,LA Clippers,Minnesota,126,115,202111030MIN
2021-11-3,Boston,Orlando,92,79,202111030ORL
2021-11-3,Philadelphia,Chicago,103,98,202111030PHI
2021-11-3,Sacramento,New Orleans,112,99,202111030SAC
2021-11-3,Dallas,San Antonio,109,108,202111030SAS
2021-11-3,Toronto,Washington,109,100,202111030WAS
2021-11-4,Utah,Atlanta,116,98,202111040ATL
2021-11-4,Philadelphia,Detroit,109,98,202111040DET
2021-11-4,Oklahoma City,LA Lakers,107,104,202111040LAL
2021-11-4,Boston,Miami,95,78,202111040MIA
2021-11-4,Phoenix,Houston,123,111,202111040PHO
2021-11-5,Brooklyn,Detroit,96,90,202111050DET
2021-11-5,Golden State,New Orleans,126,85,202111050GSW
2021-11-5,New York,Milwaukee,113,98,202111050MIL
2021-11-5,LA Clippers,Minnesota,104,84,202111050MIN
2021-11-5,San Antonio,Orlando,102,89,202111050ORL
2021-11-5,Portland,Indiana,110,106,202111050POR
