name,mp,fg,fga,fg%,3p,3pa,3p%,ft,fta,ft%,orb,drb,trb,ast,stl,blk,tov,pf,pts,+/-,start,win,game_id,gmsc
Christian Wood,15.0,3.0,4.0,0.75,0.0,1.0,0.0,1.0,2.0,0.5,1.0,3.0,4.0,0.0,0.0,0.0,1.0,1.0,7.0,2.0,0,0,202310240DEN,
Austin Reaves,31.0,4.0,11.0,0.364,1.0,2.0,0.5,5.0,7.0,0.714,4.0,4.0,8.0,4.0,2.0,0.0,2.0,2.0,14.0,-14.0,1,0,202310240DEN,
D'Angelo Russell,36.0,4.0,12.0,0.333,2.0,5.0,0.4,1.0,2.0,0.5,0.0,4.0,4.0,7.0,1.0,0.0,3.0,3.0,11.0,1.0,1,0,202310240DEN,
Anthony Davis,34.0,6.0,17.0,0.353,1.0,2.0,0.5,4.0,4.0,1.0,1.0,7.0,8.0,4.0,0.0,2.0,2.0,3.0,17.0,-17.0,1,0,202310240DEN,
Jaxson Hayes,6.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,-7.0,0,0,202310240DEN,
Rui Hachimura,14.0,3.0,10.0,0.3,0.0,3.0,0.0,0.0,0.0,,2.0,1.0,3.0,0.0,0.0,0.0,0.0,2.0,6.0,-8.0,0,0,202310240DEN,
Taurean Prince,29.0,6.0,8.0,0.75,4.0,6.0,0.667,2.0,2.0,1.0,1.0,2.0,3.0,1.0,0.0,1.0,1.0,0.0,18.0,-14.0,1,0,202310240DEN,
Peyton Watson,10.0,1.0,3.0,0.333,1.0,3.0,0.333,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,3.0,1.0,0,1,202310240DEN,
Julian Strawther,,,,,,,,,,,,,,,,,,,,,0,1,202310240DEN,
LeBron James,29.0,10.0,16.0,0.625,1.0,4.0,0.25,0.0,1.0,0.0,1.0,7.0,8.0,5.0,1.0,0.0,0.0,1.0,21.0,7.0,1,0,202310240DEN,
Gabe Vincent,22.0,3.0,8.0,0.375,0.0,4.0,0.0,0.0,0.0,,1.0,0.0,1.0,2.0,1.0,0.0,2.0,3.0,6.0,-17.0,0,0,202310240DEN,
Cam Reddish,17.0,2.0,4.0,0.5,1.0,2.0,0.5,2.0,2.0,1.0,2.0,2.0,4.0,0.0,0.0,1.0,0.0,2.0,7.0,7.0,0,0,202310240DEN,
Max Christie,1.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,202310240DEN,
DeAndre Jordan,,,,,,,,,,,,,,,,,,,,,0,1,202310240DEN,
Nikola Jokić,36.0,12.0,22.0,0.545,3.0,5.0,0.6,2.0,4.0,0.5,3.0,10.0,13.0,11.0,1.0,1.0,2.0,2.0,29.0,15.0,1,1,202310240DEN,
Collin Gillespie,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,202310240DEN,
Jalen Pickett,0.0,1.0,1.0,1.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0,1,202310240DEN,
Zeke Nnaji,11.0,1.0,3.0,0.333,0.0,1.0,0.0,2.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0,4.0,-3.0,0,1,202310240DEN,
Kentavious Caldwell-Pope,36.0,8.0,12.0,0.667,2.0,3.0,0.667,2.0,2.0,1.0,1.0,1.0,2.0,1.0,3.0,1.0,3.0,5.0,20.0,10.0,1,1,202310240DEN,
Aaron Gordon,34.0,7.0,11.0,0.636,1.0,2.0,0.5,0.0,0.0,,2.0,5.0,7.0,5.0,2.0,1.0,0.0,0.0,15.0,6.0,1,1,202310240DEN,
Reggie Jackson,24.0,3.0,8.0,0.375,2.0,5.0,0.4,0.0,0.0,,0.0,3.0,3.0,1.0,1.0,0.0,2.0,0.0,8.0,11.0,0,1,202310240DEN,
Christian Braun,19.0,2.0,5.0,0.4,0.0,1.0,0.0,1.0,2.0,0.5,1.0,2.0,3.0,2.0,0.0,1.0,1.0,1.0,5.0,5.0,0,1,202310240DEN,
Braxton Key,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,202310240DEN,
Maxwell Lewis,1.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,202310240DEN,
Michael Porter Jr.,30.0,5.0,13.0,0.385,2.0,9.0,0.222,0.0,0.0,,2.0,10.0,12.0,2.0,2.0,0.0,0.0,1.0,12.0,12.0,1,1,202310240DEN,
Jamal Murray,34.0,8.0,13.0,0.615,3.0,5.0,0.6,2.0,2.0,1.0,0.0,2.0,2.0,6.0,0.0,1.0,1.0,3.0,21.0,3.0,1,1,202310240DEN,
Justin Holiday,,,,,,,,,,,,,,,,,,,,,0,1,202310240DEN,
Eric Gordon,31.0,4.0,16.0,0.25,2.0,9.0,0.222,0.0,0.0,,1.0,3.0,4.0,1.0,1.0,1.0,1.0,2.0,10.0,6.0,0,1,202310240GSW,
Josh Okogie,31.0,7.0,9.0,0.778,1.0,1.0,1.0,2.0,2.0,1.0,4.0,1.0,5.0,1.0,1.0,0.0,2.0,2.0,17.0,2.0,1,1,202310240GSW,
Jusuf Nurkić,27.0,5.0,8.0,0.625,1.0,2.0,0.5,3.0,3.0,1.0,3.0,11.0,14.0,3.0,0.0,1.0,1.0,5.0,14.0,2.0,1,1,202310240GSW,
Grayson Allen,20.0,0.0,6.0,0.0,0.0,5.0,0.0,0.0,0.0,,3.0,1.0,4.0,2.0,0.0,0.0,1.0,2.0,0.0,-4.0,1,1,202310240GSW,
Chris Paul,34.0,4.0,15.0,0.267,0.0,6.0,0.0,6.0,7.0,0.857,1.0,5.0,6.0,9.0,2.0,0.0,1.0,0.0,14.0,5.0,1,0,202310240GSW,
Dario Šarić,20.0,3.0,11.0,0.273,1.0,3.0,0.333,0.0,0.0,,4.0,3.0,7.0,1.0,0.0,2.0,0.0,3.0,7.0,7.0,0,0,202310240GSW,
Yuta Watanabe,17.0,3.0,5.0,0.6,2.0,4.0,0.5,0.0,0.0,,0.0,4.0,4.0,0.0,0.0,1.0,1.0,2.0,8.0,7.0,0,1,202310240GSW,
Jonathan Kuminga,20.0,4.0,8.0,0.5,0.0,0.0,,4.0,6.0,0.667,3.0,3.0,6.0,1.0,2.0,1.0,2.0,5.0,12.0,4.0,0,0,202310240GSW,
Bol Bol,,,,,,,,,,,,,,,,,,,,,0,1,202310240GSW,
Kevon Looney,27.0,3.0,6.0,0.5,0.0,0.0,,1.0,1.0,1.0,5.0,6.0,11.0,1.0,0.0,0.0,2.0,2.0,7.0,-11.0,1,0,202310240GSW,
Devin Booker,36.0,13.0,21.0,0.619,3.0,8.0,0.375,3.0,3.0,1.0,1.0,5.0,6.0,8.0,1.0,0.0,6.0,4.0,32.0,5.0,1,1,202310240GSW,
Chimezie Metu,,,,,,,,,,,,,,,,,,,,,0,1,202310240GSW,
Stephen Curry,30.0,8.0,20.0,0.4,4.0,14.0,0.286,7.0,7.0,1.0,1.0,4.0,5.0,1.0,1.0,0.0,2.0,5.0,27.0,-9.0,1,0,202310240GSW,
Saben Lee,,,,,,,,,,,,,,,,,,,,,0,1,202310240GSW,
Klay Thompson,36.0,6.0,18.0,0.333,3.0,11.0,0.273,0.0,0.0,,1.0,6.0,7.0,3.0,0.0,1.0,3.0,3.0,15.0,9.0,1,0,202310240GSW,
Nassir Little,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,3.0,-3.0,0,1,202310240GSW,
Brandin Podziemski,,,,,,,,,,,,,,,,,,,,,0,0,202310240GSW,
Trayce Jackson-Davis,,,,,,,,,,,,,,,,,,,,,0,0,202310240GSW,
Cory Joseph,3.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,-12.0,0,0,202310240GSW,
