name_short,initial_rating
N. Jokic,25.0
G. Antetokounmpo,23.5
A. Davis,22.5
J. Tatum,19.0
T. Young,18.5
D. Sabonis,22.0
K. Towns,16.5
N. Vucevic,14.5
S. Gilgeous-Alexander,21.5
L. Doncic,24.0
C. Holmgren,13.5
J. Harden,17.0
D. Booker,18.0
P. Banchero,14.0
J. Allen,15.0
A. Sengun,15.0
J. Poeltl,9.5
D. Fox,15.5
B. Ingram,13.5
P. Siakam,15.5
A. Gordon,12.0
E. Mobley,13.0
D. DeRozan,13.0
D. White,11.5
I. Zubac,10.0
C. Cunningham,13.1
D. Schroder,9.5
K. Irving,17.5
B. Hield,10.0
W. Kessler,9.5
D. Lillard,17.5
J. Hart,11.0
J. Poole,9.5
C. White,9.5
B. Adebayo,16.5
L. James,20.0
K. Durant,19.5
J. Suggs,8.5
C. Thomas,9.5
D. Ayton,14.5
J. Giddey,11.0
J. Williams,12.0
J. Sochan,8.5
J. Brown,15.0
B. Coulibaly,6.5
J. Brunson,15.5
A. Reaves,11.0
L. Ball,16.0
T. Herro,11.0
N. Powell,8.0
T. Maxey,15.5
D. Garland,14.0
M. Bridges,12.5
Z. LaVine,11.0
J. Butler,16.5
D. Lively II,9.0
C. Paul,10.5
R. Gobert,14.0
Z. Williamson,16.0
D. Mitchell,16.5
N. Claxton,12.6
J. Randle,15.0
V. Wembanyama,21.0
F. Wagner,13.0
A. Edwards,16.0
T. Jones,9.0
T. Rozier,9.0
K. Murray,10.5
J. Green,11.6
S. Aldama,8.0
M. Porter Jr.,10.0
J. Smith Jr.,11.5
J. Morant,18.5
C. Johnson,9.0
T. Eason,7.0
S. Pippen Jr.,6.0
A. Wiggins,9.0
N. Richards,8.5
P. Pritchard,6.0
W. Carter Jr.,11.0
K. Thompson,11.0
J. Duren,14.0
R. Barrett,11.0
J. Johnson,12.0
B. Beal,13.5
T. Haliburton,20.5
T. Prince,6.5
P. Washington,10.5
J. Holiday,13.5
D. Bane,12.5
C. McCollum,11.5
C. Braun,7.5
L. Dort,9.0
A. Simons,10.5
T. Harris,10.5
J. Grant,12.0
C. LeVert,8.5
B. Mathurin,9.0
D. Gafford,10.0
C. Capela,11.0
R. O'Neale,8.0
J. Murray,14.5
G. Dick,7.0
K. Looney,6.0
J. Jackson Jr.,14.0
S. Curry,18.0
T. Mann,6.0
O. Okongwu,9.0
A. Horford,8.5
A. Drummond,7.0
R. Hachimura,8.0
A. Sarr,8.5
K. Huerter,8.0
T. Camara,6.0
J. Collins,11.0
O. Anunoby,9.0
B. Portis,9.0
S. Barnes,16.0
J. Hawkins,6.5
J. Ivey,9.5
J. Valanciunas,12.0
J. Huff,4.0
D. Green,11.0
D. Russell,9.5
K. Lowry,7.0
F. VanVleet,13.5
D. Avdija,9.0
Y. Missi,6.0
C. Carrington,7.1
T. Jerome,4.0
T. Jackson-Davis,8.5
O. Agbaji,5.5
T. McConnell,9.0
H. Barnes,7.5
D. Finney-Smith,7.5
J. Mogbo,4.5
L. Markkanen,17.0
T. Hardaway Jr.,7.5
B. Lopez,10.5
B. Podziemski,9.5
D. Wade,5.0
K. Dunn,6.0
S. Henderson,9.5
M. McBride,5.0
B. Simmons,6.0
M. Monk,9.5
Z. Edey,9.0
K. Oubre Jr.,8.0
A. Black,6.0
A. Thompson,10.0
G. Williams,7.5
K. George,8.0
K. Johnson,10.0
J. Champagnie,5.5
A. Dosunmu,8.0
Z. Williams,4.5
M. Turner,13.0
A. Nesmith,8.0
J. Smith,7.5
G. Mathews,4.5
N. Jovic,6.0
C. Martin,7.5
O. Toppin,8.0
D. Daniels,8.1
D. Theis,5.5
N. Reid,9.0
M. Wagner,6.0
N. Alexander-Walker,5.5
I. Stewart,8.5
J. Hayes,5.0
C. Wallace,6.5
M. Moody,5.5
Z. Collins,8.0
