name,mp,fg,fga,fg%,3p,3pa,3p%,ft,fta,ft%,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,+/-,start,win,game_id
Mikal Bridges,34.0,7.0,13.0,0.538,2.0,7.0,0.286,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,16.0,9.7,-33.0,1,0,202410220BOS
Miles McBride,25.0,8.0,10.0,0.8,4.0,5.0,0.8,2.0,3.0,0.667,0.0,0.0,0.0,2.0,0.0,0.0,1.0,1.0,22.0,17.8,-18.0,0,0,202410220BOS
Pacome Dadiet,13.0,1.0,3.0,0.333,1.0,2.0,0.5,0.0,0.0,,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,3.0,1.2,10.0,0,0,202410220BOS
Tyler Kolek,5.0,1.0,2.0,0.5,1.0,1.0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,3.0,0.0,7.0,0,0,202410220BOS
Ariel Hukporti,6.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,4.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,1.9,9.0,0,0,202410220BOS
Jrue Holiday,30.0,7.0,9.0,0.778,4.0,6.0,0.667,0.0,0.0,,2.0,2.0,4.0,4.0,1.0,0.0,0.0,2.0,18.0,19.5,23.0,1,1,202410220BOS
Jericho Sims,24.0,2.0,3.0,0.667,0.0,0.0,,0.0,0.0,,3.0,6.0,9.0,1.0,0.0,2.0,1.0,0.0,4.0,7.7,-5.0,0,0,202410220BOS
OG Anunoby,34.0,1.0,7.0,0.143,0.0,4.0,0.0,2.0,2.0,1.0,0.0,5.0,5.0,3.0,1.0,0.0,0.0,3.0,4.0,2.9,-21.0,1,0,202410220BOS
Karl-Anthony Towns,23.0,5.0,9.0,0.556,1.0,2.0,0.5,1.0,1.0,1.0,0.0,7.0,7.0,3.0,0.0,0.0,0.0,1.0,12.0,11.5,-18.0,1,0,202410220BOS
Josh Hart,24.0,4.0,6.0,0.667,0.0,2.0,0.0,4.0,6.0,0.667,1.0,3.0,4.0,3.0,0.0,0.0,1.0,0.0,12.0,11.3,-23.0,1,0,202410220BOS
Cameron Payne,20.0,5.0,10.0,0.5,1.0,4.0,0.25,0.0,0.0,,1.0,2.0,3.0,4.0,1.0,0.0,1.0,3.0,11.0,8.9,0.0,0,0,202410220BOS
Jacob Toppin,2.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.7,0.0,0,0,202410220BOS
Jalen Brunson,24.0,9.0,14.0,0.643,1.0,2.0,0.5,3.0,3.0,1.0,0.0,1.0,1.0,2.0,0.0,0.0,4.0,3.0,22.0,12.3,-23.0,1,0,202410220BOS
Jayson Tatum,30.0,14.0,18.0,0.778,8.0,11.0,0.727,1.0,2.0,0.5,0.0,4.0,4.0,10.0,1.0,1.0,1.0,1.0,37.0,38.1,26.0,1,1,202410220BOS
Derrick White,26.0,8.0,13.0,0.615,6.0,10.0,0.6,2.0,2.0,1.0,0.0,3.0,3.0,4.0,1.0,0.0,0.0,1.0,24.0,22.4,21.0,1,1,202410220BOS
