name,mp,fg,fga,fg%,3p,3pa,3p%,ft,fta,ft%,orb,drb,trb,ast,stl,blk,tov,pf,pts,+/-,start,win,game_id,fanta_score,fanta_value,fanta_gain
Christian Wood,15.0,3.0,4.0,0.75,0.0,1.0,0.0,1.0,2.0,0.5,1.0,3.0,4.0,0.0,0.0,0.0,1.0,1.0,7.0,2.0,0,0,202310240DEN,7.75,10.864627798507463,-0.3090662313432836
Justin Holiday,,,,,,,,,,,,,,,,,,,,,0,1,202310240DEN,,4.0,-0.1
Braxton Key,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,202310240DEN,0.0,4.0,-0.18
Collin Gillespie,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,202310240DEN,0.0,4.0,0.0
Jalen Pickett,0.0,1.0,1.0,1.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0,1,202310240DEN,2.1,4.0,0.005250000000000005
Zeke Nnaji,11.0,1.0,3.0,0.333,0.0,1.0,0.0,2.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0,4.0,-3.0,0,1,202310240DEN,2.1,4.0,-0.1275
Christian Braun,19.0,2.0,5.0,0.4,0.0,1.0,0.0,1.0,2.0,0.5,1.0,2.0,3.0,2.0,0.0,1.0,1.0,1.0,5.0,5.0,0,1,202310240DEN,7.612500000000001,4.0103125,0.01031250000000003
Reggie Jackson,24.0,3.0,8.0,0.375,2.0,5.0,0.4,0.0,0.0,,0.0,3.0,3.0,1.0,1.0,0.0,2.0,0.0,8.0,11.0,0,1,202310240DEN,6.300000000000001,5.954848880597016,-0.11567350746268656
Michael Porter Jr.,30.0,5.0,13.0,0.385,2.0,9.0,0.222,0.0,0.0,,2.0,10.0,12.0,2.0,2.0,0.0,0.0,1.0,12.0,12.0,1,1,202310240DEN,29.925,11.765099676724137,0.22900053879310356
Jamal Murray,34.0,8.0,13.0,0.615,3.0,5.0,0.6,2.0,2.0,1.0,0.0,2.0,2.0,6.0,0.0,1.0,1.0,3.0,21.0,3.0,1,1,202310240DEN,32.550000000000004,13.65233555327869,0.20879047131147555
Aaron Gordon,34.0,7.0,11.0,0.636,1.0,2.0,0.5,0.0,0.0,,2.0,5.0,7.0,5.0,2.0,1.0,0.0,0.0,15.0,6.0,1,1,202310240DEN,33.075,12.49578125,0.2770312500000002
Kentavious Caldwell-Pope,36.0,8.0,12.0,0.667,2.0,3.0,0.667,2.0,2.0,1.0,1.0,1.0,2.0,1.0,3.0,1.0,3.0,5.0,20.0,10.0,1,1,202310240DEN,23.3625,8.388286024305556,0.21632421875000002
Nikola Jokić,36.0,12.0,22.0,0.545,3.0,5.0,0.6,2.0,4.0,0.5,3.0,10.0,13.0,11.0,1.0,1.0,2.0,2.0,29.0,15.0,1,1,202310240DEN,64.3125,26.68556153846154,0.4261384615384616
Maxwell Lewis,1.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,202310240DEN,0.0,4.0,0.0
Max Christie,1.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,202310240DEN,0.0,4.0,-0.18
Jaxson Hayes,6.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,-7.0,0,0,202310240DEN,1.0,4.0,-0.155
Rui Hachimura,14.0,3.0,10.0,0.3,0.0,3.0,0.0,0.0,0.0,,2.0,1.0,3.0,0.0,0.0,0.0,0.0,2.0,6.0,-8.0,0,0,202310240DEN,2.5,6.161804563492064,-0.2249017857142857
Cam Reddish,17.0,2.0,4.0,0.5,1.0,2.0,0.5,2.0,2.0,1.0,2.0,2.0,4.0,0.0,0.0,1.0,0.0,2.0,7.0,7.0,0,0,202310240DEN,11.0,5.5209190705128215,0.027810096153846137
Gabe Vincent,22.0,3.0,8.0,0.375,0.0,4.0,0.0,0.0,0.0,,1.0,0.0,1.0,2.0,1.0,0.0,2.0,3.0,6.0,-17.0,0,0,202310240DEN,3.75,5.590880974264706,-0.1652771139705882
LeBron James,29.0,10.0,16.0,0.625,1.0,4.0,0.25,0.0,1.0,0.0,1.0,7.0,8.0,5.0,1.0,0.0,0.0,1.0,21.0,7.0,1,0,202310240DEN,32.25,18.801271590909092,-0.041682954545454565
Taurean Prince,29.0,6.0,8.0,0.75,4.0,6.0,0.667,2.0,2.0,1.0,1.0,2.0,3.0,1.0,0.0,1.0,1.0,0.0,18.0,-14.0,1,0,202310240DEN,25.75,5.587162377450981,0.4108143382352941
Austin Reaves,31.0,4.0,11.0,0.364,1.0,2.0,0.5,5.0,7.0,0.714,4.0,4.0,8.0,4.0,2.0,0.0,2.0,2.0,14.0,-14.0,1,0,202310240DEN,21.0,8.879544642857145,0.13133035714285712
Anthony Davis,34.0,6.0,17.0,0.353,1.0,2.0,0.5,4.0,4.0,1.0,1.0,7.0,8.0,4.0,0.0,2.0,2.0,3.0,17.0,-17.0,1,0,202310240DEN,21.25,20.226388636363637,-0.3967931818181819
D'Angelo Russell,36.0,4.0,12.0,0.333,2.0,5.0,0.4,1.0,2.0,0.5,0.0,4.0,4.0,7.0,1.0,0.0,3.0,3.0,11.0,1.0,1,0,202310240DEN,14.5,12.466346467391306,-0.20783831521739127
DeAndre Jordan,,,,,,,,,,,,,,,,,,,,,0,1,202310240DEN,,5.371875,-0.1
Julian Strawther,,,,,,,,,,,,,,,,,,,,,0,1,202310240DEN,,4.0,-0.1
Peyton Watson,10.0,1.0,3.0,0.333,1.0,3.0,0.333,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,3.0,1.0,0,1,202310240DEN,1.05,4.0,-0.15375
Devin Booker,36.0,13.0,21.0,0.619,3.0,8.0,0.375,3.0,3.0,1.0,1.0,5.0,6.0,8.0,1.0,0.0,6.0,4.0,32.0,5.0,1,1,202310240GSW,40.6875,15.877194110576925,0.316977764423077
Brandin Podziemski,,,,,,,,,,,,,,,,,,,,,0,0,202310240GSW,,4.0,-0.1
Trayce Jackson-Davis,,,,,,,,,,,,,,,,,,,,,0,0,202310240GSW,,4.0,-0.1
Cory Joseph,3.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,-12.0,0,0,202310240GSW,2.75,5.238959528688524,-0.17487243852459017
Moses Moody,17.0,4.0,6.0,0.667,2.0,4.0,0.5,1.0,2.0,0.5,1.0,2.0,3.0,0.0,3.0,1.0,1.0,1.0,11.0,-6.0,0,0,202310240GSW,15.75,4.21375,0.21375000000000005
Dario Šarić,20.0,3.0,11.0,0.273,1.0,3.0,0.333,0.0,0.0,,4.0,3.0,7.0,1.0,0.0,2.0,0.0,3.0,7.0,7.0,0,0,202310240GSW,11.5,4.921594866071429,0.06913950892857146
Jonathan Kuminga,20.0,4.0,8.0,0.5,0.0,0.0,,4.0,6.0,0.667,3.0,3.0,6.0,1.0,2.0,1.0,2.0,5.0,12.0,4.0,0,0,202310240GSW,15.75,6.482688920454546,0.1068366477272728
Gary Payton II,21.0,0.0,5.0,0.0,0.0,2.0,0.0,1.0,2.0,0.5,0.0,2.0,2.0,2.0,3.0,0.0,0.0,1.0,1.0,15.0,0,0,202310240GSW,4.5,4.79796875,-0.10828124999999998
Kevin Durant,36.0,7.0,22.0,0.318,1.0,2.0,0.5,3.0,5.0,0.6,2.0,9.0,11.0,3.0,0.0,1.0,2.0,1.0,18.0,0.0,1,1,202310240GSW,22.575,18.115420877659577,-0.26263763297872356
Andrew Wiggins,27.0,4.0,12.0,0.333,0.0,3.0,0.0,2.0,3.0,0.667,1.0,0.0,1.0,0.0,0.0,1.0,0.0,3.0,10.0,-22.0,1,0,202310240GSW,4.75,10.648122395833333,-0.37739843749999996
Kevon Looney,27.0,3.0,6.0,0.5,0.0,0.0,,1.0,1.0,1.0,5.0,6.0,11.0,1.0,0.0,0.0,2.0,2.0,7.0,-11.0,1,0,202310240GSW,15.75,10.759258101851852,-0.0946770833333333
Stephen Curry,30.0,8.0,20.0,0.4,4.0,14.0,0.286,7.0,7.0,1.0,1.0,4.0,5.0,1.0,1.0,0.0,2.0,5.0,27.0,-9.0,1,0,202310240GSW,25.25,19.07023806818182,-0.23760284090909078
Klay Thompson,36.0,6.0,18.0,0.333,3.0,11.0,0.273,0.0,0.0,,1.0,6.0,7.0,3.0,0.0,1.0,3.0,3.0,15.0,9.0,1,0,202310240GSW,15.75,11.697158088235295,-0.13887132352941167
Chimezie Metu,,,,,,,,,,,,,,,,,,,,,0,1,202310240GSW,,4.0,-0.1
Chris Paul,34.0,4.0,15.0,0.267,0.0,6.0,0.0,6.0,7.0,0.857,1.0,5.0,6.0,9.0,2.0,0.0,1.0,0.0,14.0,5.0,1,0,202310240GSW,24.25,14.413081567796612,-0.04433368644067792
Bol Bol,,,,,,,,,,,,,,,,,,,,,0,1,202310240GSW,,6.991485507246377,-0.1
Josh Okogie,31.0,7.0,9.0,0.778,1.0,1.0,1.0,2.0,2.0,1.0,4.0,1.0,5.0,1.0,1.0,0.0,2.0,2.0,17.0,2.0,1,1,202310240GSW,23.1,5.894143045774648,0.32697755281690144
Jusuf Nurkić,27.0,5.0,8.0,0.625,1.0,2.0,0.5,3.0,3.0,1.0,3.0,11.0,14.0,3.0,0.0,1.0,1.0,5.0,14.0,2.0,1,1,202310240GSW,38.0625,12.424787377450983,0.41093933823529416
Grayson Allen,20.0,0.0,6.0,0.0,0.0,5.0,0.0,0.0,0.0,,3.0,1.0,4.0,2.0,0.0,0.0,1.0,2.0,0.0,-4.0,1,1,202310240GSW,1.3125,7.451968750000001,-0.31678125
Eric Gordon,31.0,4.0,16.0,0.25,2.0,9.0,0.222,0.0,0.0,,1.0,3.0,4.0,1.0,1.0,1.0,1.0,2.0,10.0,6.0,0,1,202310240GSW,5.5125,6.814940670289856,-0.1768165760869565
Saben Lee,,,,,,,,,,,,,,,,,,,,,0,1,202310240GSW,,4.3155,-0.1
Yuta Watanabe,17.0,3.0,5.0,0.6,2.0,4.0,0.5,0.0,0.0,,0.0,4.0,4.0,0.0,0.0,1.0,1.0,2.0,8.0,7.0,0,1,202310240GSW,10.5,4.199302262931035,0.07699622844827586
Drew Eubanks,19.0,1.0,3.0,0.333,0.0,0.0,,2.0,4.0,0.5,2.0,5.0,7.0,2.0,0.0,3.0,3.0,3.0,4.0,-2.0,0,1,202310240GSW,11.025,7.301618912337663,-0.05544277597402597
Jordan Goodwin,14.0,1.0,4.0,0.25,0.0,1.0,0.0,0.0,0.0,,1.0,3.0,4.0,3.0,1.0,0.0,2.0,0.0,2.0,7.0,0,1,202310240GSW,6.5625,5.8514148185483865,-0.10392792338709678
Nassir Little,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,3.0,-3.0,0,1,202310240GSW,5.775,4.063190972222222,-0.04028124999999999
Udoka Azubuike,,,,,,,,,,,,,,,,,,,,,0,1,202310240GSW,,4.0,-0.1
Keita Bates-Diop,,,,,,,,,,,,,,,,,,,,,0,1,202310240GSW,,6.5889204545454545,-0.1
Dorian Finney-Smith,27.0,4.0,8.0,0.5,2.0,6.0,0.333,0.0,1.0,0.0,1.0,4.0,5.0,2.0,0.0,0.0,3.0,1.0,10.0,7.0,0,0,202310250BRK,8.75,6.8564521780303025,-0.09402130681818177
Cameron Johnson,26.0,5.0,10.0,0.5,1.0,4.0,0.25,1.0,2.0,0.5,2.0,3.0,5.0,3.0,2.0,0.0,2.0,1.0,12.0,-1.0,1,0,202310250BRK,17.0,10.176090029761905,-0.034475446428571366
Spencer Dinwiddie,23.0,1.0,3.0,0.333,1.0,3.0,0.333,2.0,2.0,1.0,0.0,1.0,1.0,3.0,0.0,0.0,1.0,2.0,5.0,-10.0,1,0,202310250BRK,8.0,12.276518987341772,-0.36905063291139234
Ben Simmons,22.0,2.0,6.0,0.333,0.0,0.0,,0.0,0.0,,1.0,9.0,10.0,9.0,0.0,1.0,2.0,2.0,4.0,-6.0,1,0,202310250BRK,23.25,10.199606398809525,0.12802901785714288
Nic Claxton,28.0,3.0,10.0,0.3,0.0,0.0,,1.0,1.0,1.0,4.0,3.0,7.0,4.0,0.0,3.0,0.0,1.0,7.0,-12.0,1,0,202310250BRK,19.5,13.938549342105265,-0.1463190789473684
