points,value,gain
70,5.6,1.5
58.5,5.2,1.2
59.25,8.5,1.1
57.25,6.8,1.1
53.75,4.9,1.1
49.25,5.7,1
52,9.6,0.9
43,4.1,0.9
40.25,4,0.8
41,4,0.8
41.5,7.2,0.7
45,10,0.7
37,4,0.7
44.5,11.3,0.6
32.5,5.8,0.6
-2,16.6,-0.8
-1.5,14.7,-0.7
2.5,14.2,-0.6
18,20.4,-0.5
-2.5,10,-0.5
-1.5,11.2,-0.5
5,10.7,-0.4
0.5,9,-0.4
2.75,11.5,-0.4
-5.5,4.7,-0.3
7.5,9.8,-0.3
2,8.7,-0.3
7,9.6,-0.3
4.5,8.5,-0.3
11,13.8,-0.3
1.5,5.6,-0.2
6,6.8,-0.2
2.5,6.3,-0.2
5.5,7.3,-0.2
6,8.3,-0.2
18,15.3,-0.2
-1,4.3,-0.2
2.5,5.5,-0.2
4.5,6.9,-0.2
3.25,6.3,-0.2
12.5,12.2,-0.2
19.75,15.7,-0.2
11,9.9,-0.2
7.5,7.9,-0.2
15.5,12.5,-0.2
32.75,4.7,0.6
32.5,5.8,0.6
31.5,5,0.6
35.5,6.2,0.6
32,4.7,0.6
32.5,4.1,0.6
29.75,4.3,0.6
30.5,4,0.6
28.25,4,0.5
31.25,6.9,0.5
35.75,8.8,0.5
29.5,5.7,0.5
25.75,4,0.5
35.5,8.5,0.5
27.75,4,0.5
29.75,6,0.5
48.75,16,0.5
39.75,9.9,0.5
33.75,8.6,0.5
29.5,4.4,0.5
27.5,7.5,0.4
33,10.4,0.4
43.25,14.9,0.4
22.75,4.1,0.4
22.75,4.2,0.4
30.75,9.2,0.4
24.5,4.4,0.4
21.75,4,0.4
24,4.5,0.4
23.75,5.2,0.4
28,7.1,0.4
37.5,11.1,0.4
35,10.1,0.4
24.25,4,0.4
28,7.5,0.4
23.5,4.5,0.4
25.5,4.2,0.4
24.5,4.9,0.4
24,4,0.4
24.5,4,0.4
25.75,5,0.4
21,6,0.3
28.5,10.1,0.3
21.5,4.8,0.3
20,5,0.3
22.5,6.4,0.3
26.5,7.5,0.3
22.5,5.7,0.3
19.25,4.4,0.3
20.25,4,0.3
25,7.1,0.3
29,9.7,0.3
36.25,12.8,0.3
21,5.4,0.3
33.5,11.7,0.3
23.5,6,0.3
18.25,4,0.3
18.25,4.1,0.3
27.25,8,0.3
43.5,16.9,0.3
25.75,7.8,0.3
19.75,4.2,0.3
18,4,0.3
20.25,4.9,0.3
19,4,0.3
23,6.8,0.3
20,4.4,0.3
36,14.3,0.3
20,4,0.3
22,5.1,0.3
17.5,4,0.3
25,10.1,0.2
16,4.8,0.2
23.5,8.8,0.2
15.5,4.8,0.2
19.25,7,0.2
21.5,6.6,0.2
16.5,4.6,0.2
13.25,4,0.2
16.25,4,0.2
15.25,4.6,0.2
18,5.2,0.2
30,11.3,0.2
21.75,8.1,0.2
21.25,6.5,0.2
44,18.9,0.2
18,6.6,0.2
15.5,4,0.2
16.25,4.3,0.2
48.5,21.4,0.2
24.5,9.3,0.2
28.5,11.2,0.2
16.25,4,0.2
14.75,4.1,0.2
19,6.6,0.2
17,4,0.2
22.75,7.3,0.2
20.75,7.2,0.2
14,4,0.2
44.25,20,0.2
18,6.5,0.2
15.25,5,0.2
15,4.9,0.2
26,10.8,0.2
13,4,0.1
17.25,7.4,0.1
19.5,7.8,0.1
11,4,0.1
20,9.5,0.1
10.5,4.6,0.1
12.5,4.4,0.1
10,4.4,0.1
21.5,10.7,0.1
18.75,8.1,0.1
9.25,4,0.1
17.5,8.1,0.1
14.5,6.9,0.1
13.25,5.3,0.1
22.5,9.5,0.1
11.75,4,0.1
22,13.4,-0.1
