name,status
Wesley Matthews,Nov 9
Dariq Whitehead,gtd
Nicolas Claxton,gtd
Cameron Johnson,gtd
Cody Martin,gtd
Frank Ntilikina,Nov 20
James Bouknight,Nov 4
Lonzo Ball,Out for the season
Ty Jerome,gtd
Donovan Mitchell,gtd
Darius Garland,gtd
Jarrett Allen,gtd
Ricky Rubio,Jan 1
Jay Huff,Oct 30
Vlatko Cancar,Apr 1
Monte Morris,Nov 14
Isaiah Livers,Nov 21
Bojan Bogdanovic,Nov 24
Jonathan Kuminga,gtd
Stephen Curry,gtd
Draymond Green,gtd
Jock Landale,Nov 1
Nate Hinton,gtd
Victor Oladipo,Nov 17
Tari Eason,Nov 5
Marcus Morris,Oct 31
Brandon Boston Jr.,Nov 12
Terance Mann,Oct 31
Joshua Primo,Nov 1
Cam Reddish,gtd
Jarred Vanderbilt,Nov 12
Jalen Hood-Schifino,Nov 4
Luke Kennard,gtd
Santi Aldama,gtd
Steven Adams,Out for the season
Brandon Clarke,Feb 1
Kevin Love,gtd
Jimmy Butler,gtd
Josh Richardson,gtd
Caleb Martin,gtd
Haywood Highsmith,Nov 3
Khris Middleton,Oct 30
Jaden McDaniels,gtd
Jaylen Clark,Jan 1
Naji Marshall,gtd
Jose Alvarado,Nov 8
Trey Murphy III,Nov 17
Kenrich Williams,Oct 30
Jaylin Williams,Nov 1
Kevon Harris,gtd
James Harden,gtd
Devin Booker,Oct 31
Bradley Beal,Oct 31
Damion Lee,Dec 31
Ishmail Wainright,Oct 30
Anfernee Simons,Dec 2
Trey Lyles,Nov 1
OG Anunoby,gtd
Precious Achiuwa,gtd
Christian Koloko,gtd
Landry Shamet,gtd
Johnny Davis,gtd
