team,name,date,status
Atlanta,Trae Young,2024-12-19,
Atlanta,Dyson Daniels,2024-12-19,
Atlanta,Zaccharie Risacher,2024-12-19,
Atlanta,Clint Capela,2024-12-19,
Atlanta,Jalen Johnson,2024-12-19,
Boston,Jayson Tatum,2024-12-19,
Boston,Kristaps Porziņģis,2024-12-19,
Boston,Jaylen Brown,2024-12-19,
Boston,Derrick White,2024-12-19,
Boston,Jrue Holiday,2024-12-19,
Brooklyn,Cameron Johnson,2024-12-19,
Brooklyn,Ben Simmons,2024-12-19,
Brooklyn,Nic Claxton,2024-12-19,
Brooklyn,Keon Johnson,2024-12-19,
Brooklyn,Dorian Finney-Smith,2024-12-19,
Charlotte,LaMelo Ball,2024-12-19,
Charlotte,Miles Bridges,2024-12-19,
Charlotte,Mark Williams,2024-12-19,
Charlotte,Josh Green,2024-12-19,
Charlotte,Seth Curry,2024-12-19,
Chicago,Ayo Dosunmu,2024-12-19,
Chicago,Zach LaVine,2024-12-19,
Chicago,Coby White,2024-12-19,
Chicago,Patrick Williams,2024-12-19,
Chicago,Nikola Vučević,2024-12-19,
Cleveland,Jarrett Allen,2024-12-08,
Cleveland,Dean Wade,2024-12-08,
Cleveland,Evan Mobley,2024-12-08,
Cleveland,Donovan Mitchell,2024-12-08,
Cleveland,Darius Garland,2024-12-08,
Dallas,P.J. Washington,2024-12-19,
Dallas,Klay Thompson,2024-12-19,
Dallas,Spencer Dinwiddie,2024-12-19,
Dallas,Dereck Lively II,2024-12-19,
Dallas,Quentin Grimes,2024-12-19,
Denver,Nikola Jokić,2024-12-19,
Denver,Michael Porter Jr.,2024-12-19,
Denver,Aaron Gordon,2024-12-19,
Denver,Christian Braun,2024-12-19,
Denver,Jamal Murray,2024-12-19,
Detroit,Tobias Harris,2024-12-19,
Detroit,Jalen Duren,2024-12-19,
Detroit,Ausar Thompson,2024-12-19,
Detroit,Tim Hardaway Jr.,2024-12-19,
Detroit,Cade Cunningham,2024-12-19,
Golden State,Jimmy Butler,,
Golden State,Brandin Podziemski,,
Golden State,Stephen Curry,,
Golden State,Draymond Green,,
Golden State,Al Horford,,
Houston,Amen Thompson,,
Houston,Kevin Durant,,
Houston,Jabari Smith Jr.,,
Houston,Alperen Sengun,,
Houston,Reed Sheppard,,
Indiana,Andrew Nembhard,2024-12-19,
Indiana,Bennedict Mathurin,2024-12-19,
Indiana,Pascal Siakam,2024-12-19,
Indiana,Myles Turner,2024-12-19,
Indiana,Tyrese Haliburton,2024-12-19,
LA Clippers,Norman Powell,2024-12-19,
LA Clippers,Derrick Jones Jr.,2024-12-19,
LA Clippers,Kris Dunn,2024-12-19,
LA Clippers,Ivica Zubac,2024-12-19,
LA Clippers,James Harden,2024-12-19,
LA Lakers,Austin Reaves,,
LA Lakers,Rui Hachimura,,
LA Lakers,Luka Doncic,,
LA Lakers,LeBron James,,probable
LA Lakers,Deandre Ayton,,
Memphis,Jaylen Wells,2024-12-19,
Memphis,Jaren Jackson Jr.,2024-12-19,
Memphis,Ja Morant,2024-12-19,
Memphis,Desmond Bane,2024-12-19,
Memphis,Zach Edey,2024-12-19,
Miami,Bam Adebayo,2024-12-08,
Miami,Duncan Robinson,2024-12-08,
Miami,Haywood Highsmith,2024-12-08,
Miami,Tyler Herro,2024-12-08,
Miami,Jimmy Butler,2024-12-08,
Milwaukee,Andre Jackson Jr.,2024-12-08,
Milwaukee,Taurean Prince,2024-12-08,
