name,name_short,code,position
Mikal Bridges,M. Bridges,bridgmi01,F
Jaylen Brown,J. Brown,brownja02,F
Derrick White,D. White,whitede01,G
Al Horford,A. Horford,horfoal01,C
Payton Pritchard,P. Pritchard,pritcpa01,G
Sam Hauser,S. Hauser,hausesa01,F
Neemias Queta,N. Queta,quetane01,C
Baylor Scheierman,B. Scheierman,scheiba01,G
Jaden Springer,J. Springer,sprinja01,G
Luke Kornet,L. Kornet,kornelu01,C
Jayson Tatum,J. Tatum,tatumja01,F
Jordan Walsh,J. Walsh,walshjo01,F
Jacob Toppin,J. Toppin,toppija01,F
Karl-Anthony Towns,K. Towns,townska01,C
Tyler Kolek,T. Kolek,kolekty01,G
Ariel Hukporti,A. Hukporti,hukpoar01,C
Pacome Dadiet,P. Dadiet,dadiepa01,G
Jericho Sims,J. Sims,simsje01,C
Cameron Payne,C. Payne,payneca01,G
Miles McBride,M. McBride,mcbrimi01,G
Josh Hart,J. Hart,hartjo01,F
Jalen Brunson,J. Brunson,brunsja01,G
OG Anunoby,O. Anunoby,anunoog01,F
Jrue Holiday,J. Holiday,holidjr01,G
Austin Reaves,A. Reaves,reaveau01,G
Gabe Vincent,G. Vincent,vincega01,G
Rui Hachimura,R. Hachimura,hachiru01,F
LeBron James,L. James,jamesle01,C
Dalton Knecht,D. Knecht,knechda01,F
Cam Reddish,C. Reddish,reddica01,F
Max Christie,M. Christie,chrisma02,G
Jalen Hood-Schifino,J. Hood-Schifino,hoodsja01,G
Maxwell Lewis,M. Lewis,lewisma05,F
Anthony Davis,A. Davis,davisan02,C
Jaxson Hayes,J. Hayes,hayesja02,C
D'Angelo Russell,D. Russell,russeda01,G
Bronny James,B. James,jamesbr02,G
Rob Dillingham,R. Dillingham,dilliro01,G
Mike Conley,M. Conley,conlemi01,G
Joe Ingles,J. Ingles,inglejo01,F
Jaden McDaniels,J. McDaniels,mcdanja02,F
Anthony Edwards,A. Edwards,edwaran01,G
Rudy Gobert,R. Gobert,goberru01,C
Josh Minott,J. Minott,minotjo01,F
Donte DiVincenzo,D. DiVincenzo,divindo01,G
Julius Randle,J. Randle,randlju01,C
Naz Reid,N. Reid,reidna01,C
PJ Dozier,P. Dozier,doziepj01,F
Luka Garza,L. Garza,garzalu01,C
Leonard Miller,L. Miller,millele01,F
Nickeil Alexander-Walker,N. Alexander-Walker,alexani01,G
Onyeka Okongwu,O. Okongwu,okongon01,C
Bogdan Bogdanović,B. Bogdanovic,bogdabo01,G
Dyson Daniels,D. Daniels,daniedy01,G
De'Andre Hunter,D. Hunter,huntede01,F
Clint Capela,C. Capela,capelca01,C
Zaccharie Risacher,Z. Risacher,risacza01,F
Keaton Wallace,K. Wallace,wallake01,G
Mouhamed Gueye,M. Gueye,gueyemo02,F
David Roddy,D. Roddy,roddyda01,F
Trae Young,T. Young,youngtr01,G
Vit Krejci,V. Krejci,krejcvi01,G
Jalen Johnson,J. Johnson,johnsja05,F
Larry Nance Jr.,L. Nance Jr.,nancela02,C
Garrison Mathews,G. Mathews,mathega01,G
